texto,calificacion,tipo_lugar,fuente,fecha,lugar,polaridad
"Vale la pena ir, tienen peceras muy bonitas. Me encantó ver a las Mantarayas. Cuentan con una soda dentro del parque y la comida estaba.uy buena demás a buen precio. Por ejemplo un arroz con camarones grande salía en 5 mil colones ($10) Aprox. Tienen una piscina para niños y unos chorros para bañarse.",5.0,parque,google_maps,Hace un año,Parque Marino del Pacífico,positiva
Lugar bonito pero un poco descuidado. Si lo pintan y mejoran la infraestructura sería lo mejor,4.0,parque,google_maps,Hace 9 meses,Parque Marino del Pacífico,positiva
"Deberían desarrollarlo mucho más, pocas especies, ambiente aburrido, su personal hace un buen esfuerzo por motivar al visitante. Las rayas fue lo mejor! La soda muy buena.",3.0,parque,google_maps,Hace 2 años,Parque Marino del Pacífico,neutral
Muy lindo y se que todo es plata. Pero intentar hacer algo para q las rayas y las 2 tortugas tengan un espacio un poquito más grande. Pero la experiencia es linda. Ahh y tamb poner un rotulito con el nombre de los hermosos árboles q están en dif puntos del parque.,5.0,parque,google_maps,Hace un año,Parque Marino del Pacífico,positiva
"Muy linda experiencia con niños. El lugar es pequeñito, sencillo y no tiene tantas cosas pero es muy muy lindo, tiene tiburones, peces, estrellas de mar, una tortuga entre otros animales marinos. También hay unos chorritos para que los chicos jueguen. Mis hijas lo disfrutaron.",5.0,parque,google_maps,Hace 3 años,Parque Marino del Pacífico,positiva
"Nos pareció una buena opción para compartir en familia. Hay animales rescatados, por lo que el lugar funge también como un refugio. Debería recibir más inversión estatal y comunicación de las actividades. Tienen aulas para dar clases sobre la biodiversidad.",5.0,parque,google_maps,Hace 2 años,Parque Marino del Pacífico,positiva
"Primera vez que voy y no esperaba ver tantos tipos de animales. El tour es corto pero provechoso, se puede tardar de 1 a 2 horas. Buena experiencia.",4.0,parque,google_maps,Hace un año,Parque Marino del Pacífico,positiva
"Hay bastante por ver a pesar de lo pequeño que es. Una experiencia muy interesante estar de cerca con las especies marinas y aprender datos interesantes con las exposiciones. El lugar está algo descuidado y hay varios rótulos con información caídos o difíciles de leer, pero vale la pena ir.",4.0,parque,google_maps,Hace 3 años,Parque Marino del Pacífico,positiva
Todo precioso y buen personal!,5.0,parque,google_maps,Hace 10 meses,Parque Marino del Pacífico,positiva
Excelente opción para visitar en la bella provincia de Puntarenas. Sitio idóneo para conocer un poco más de la fauna marina de nuestro país. Se acepta el ingreso de mascotas y si tienen niños pequeños lo pasarán de maravilla. Hay una soda q ofrece opciones de comida a muy buen precio y un sabor único de la comida típica. Súper recomendado.,5.0,parque,google_maps,Hace 2 años,Parque Marino del Pacífico,positiva
"Un lugar lindo, sin guía pero antes de entrar ellos te dicen cómo llegar a casa área y te dan un mapa, hay sodas y una piscina solo para niños y los chorros si son para adultos.",5.0,parque,google_maps,Hace un año,Parque Marino del Pacífico,positiva
"Hermoso lugar, muestra muchas especies marinas tienen 3 enormes tiburones y una pila de mantarrayas, hay una piscina para niños excelente para pasar el día con ellos ahí",5.0,parque,google_maps,Hace un año,Parque Marino del Pacífico,positiva
"Me sorprendió y a la vez me entristeció ver el diminuto espacio que le dan a las tortugas, los lagartos y las tortugas marinas. El lugar es enorme pero destinan muy poco a los animales grandes. Da pena el estanque de las mantas, da pena el estanque de la tortugas marinas, parecen piscinas para niños. No hay a quien preguntarle detalles sobre los animales. El lugar parece abandonado. Es una pena. Aún así y a pesar de todo entretiene.",2.0,parque,google_maps,Hace 4 años,Parque Marino del Pacífico,negativa
"Nunca había ido a pesar de haber pasado por ahí muchas veces y me encantó. Para los niños es muy divertido, tienen piscina con tobogán y chorros de agua, mesas de pic nic, tienen soda y la comida es rica. Hay muchos animales que conocer, en lo personal se me hace feo verlos encerrados en espacios pequeños, pero a lo que tengo entendido están ahí por estudio y se devuelven, así que constantemente cambian las especies que tienen y realizan muchos estudios para asegurarse que el océano esté en perfecto estado, así sus animales y corales, hacen muchos estudios de microalgas, así que es importante ir y ayudar y hay mucho que ver. Recomendado!",5.0,parque,google_maps,Hace un año,Parque Marino del Pacífico,positiva
"Muy linda experiencia. Zona de pic nic está muy linda. Puntos a mejorar, sería genial una piscinita más grande para todo visitante. Así uno aprovecha, ve los peces y se pega un chapuzón con los niños.",4.0,parque,google_maps,Hace 6 meses,Parque Marino del Pacífico,positiva
"El lugar es bellísimo, las especies que tienen se ven muy bien cuidadas y los espacios verdes para picnic son muy amplios la piscina es pequeña y poco profunda excelente para que los niños jueguen de forma segura, solo que cuando hay muchos usuarios se satura un poco. Por lo demás encantadisima definitivamente volveré a ir cuando tenga oportunidad",5.0,parque,google_maps,Hace 3 años,Parque Marino del Pacífico,positiva
"Visité el Parque Marino del Pacífico y salí muy triste. Aunque es un lugar que alberga animales rescatados, las condiciones que observé son preocupantes. Los estanques de los cocodrilos estaban sucios, las tortugas están en agua muy oscura y una de ellas, sin sus extremidades delanteras, pasa golpeándose contra las paredes de su piscina. Varias peceras se ven descuidadas y no hay información clara sobre la historia o el estado de los animales. Son seres vivos que merecen mejores condiciones, limpieza y supervisión. Ojalá las autoridades y la administración tomen medidas para garantizar su bienestar.",2.0,parque,google_maps,Hace 5 meses,Parque Marino del Pacífico,negativa
"Se llega en carro. Incluye es fácil llegar en bus porque la terminal está cerca. La entrada es barata. Tienen manta rayas, tortugas, mucha variedad de peces, estrellas de mar. Tienen una sala con una maqueta por así decirlo de la Isla de Coco, muy bonito e interesante. Tienen una restaurantico dentro del lugar. El lugar tiene rampas.",4.0,parque,google_maps,Hace 2 años,Parque Marino del Pacífico,positiva
"Si te gustan los animales marinos y quieres verlos con entrada super barata, recomendadisimo.",5.0,parque,google_maps,Hace 6 meses,Parque Marino del Pacífico,positiva
"Parque Marino del Pacifico, 500 mts este del Muelle de Cruceros, Puntarenas, Costa Rica El Parque Marino del Pacífico creado mediante Ley 8065, con el objetivo de propiciar el desarrollo humano sostenible tanto del litoral como de la costa pacífica, mediante la educación y la recreación, la conservación de la biodiversidad marina, las actividades turísticas de contenido ecológico y la investigación y desarrollo de opciones productivas alternativas a la pesca extractiva. la mayoría de animales son rescatados lo que es muy importante ya que no los mantienen cautivos. La entrada cuesta ¢2500 y tienen variedad de animales e información que te ayuda a conocer un poco más de ellos. Es un lugar para visitar en familia, excelente para los niños ya que de otra manera es un poco difícil poder tener la oportunidad de ver tan de cerca muchas especies marinas, tortugas y lagartos. Promueve a cerca del cuidado que debemos tener de cuidar y preservar las distintas especies Pienso que le falta espacio, que los animales están en un lugar muy pequeño, los tiburones o los cocodrilos y las demás especies se encuentran hacinados. Sus instalaciones exteriores, el recorres se puede hacer en unos 30 y 45 min. El recorrido es bajo tu responsabilidad ya que lo único te dan al entrar es un pequeño mapa general de la atracción. El acuario es pequeño y con pocas especies. cuenta con un estanque de rayas y tiburones los cuales están muy cerca de las personas lo que propicia que sean tocados con el riesgo de accidentes. Dentro de las instalaciones podemos encontrar un pequeño playground que no luce muy bien, una piscina para niños y un tren que da recorrido por las instalaciones. En general es una experiencia agradable para los que nunca hemos tenido la oportunidad de asistir a un lugar de esta índole. ¡Cuidemos las instalaciones para que muchos lo disfruten!",5.0,parque,google_maps,Hace 6 años,Parque Marino del Pacífico,positiva
"Podrían mejorar mucho más, cuando los visité era mi primera vez y las espectativas eran muy altas sin embargo quedó debiendo mucho!",5.0,parque,google_maps,Hace un año,Parque Marino del Pacífico,positiva
"Hay variedades interesantes de peces, reptiles, tiburones, mantas, tortugas marinas, un lindo acuario. Los encargados muy amables y preparados, se preocupan por explicar. Pero falta mantenimiento y cariño en los jardines. Con plantas y riego el ambiente puede mejorar muchísimo.",4.0,parque,google_maps,Hace 5 años,Parque Marino del Pacífico,positiva
"Hermoso, aparte de que se apoya al mantenimiento de animales marinos rescatados, también se aprende de ellos. El lugar lo mantienen muy bonito además hay chorros y piscinas para niños. También la soda es muy buena y buenos precios.",5.0,parque,google_maps,Hace 5 años,Parque Marino del Pacífico,positiva
"Es un lugar bonito para una visita rápida, cuentan con piscina exclusivamente para niños y fuentes de agua, la comida de la soda es de buena a regular, depende del platillo pueden durar bastante, pedimos arroz con mariscos y duraron casi 1hra en servir, con respecto sus instalaciones y animales se ven un poco descuidados",4.0,parque,google_maps,Hace 4 años,Parque Marino del Pacífico,positiva
Es agradable aunque le falta más cuidado a los animales y mantenimiento de las instalaciones. Sería bueno que pongan más información educativa de las especies. No recomiendo ir a estos lugares que al final tienen a los animales en cautiverio sin el cuidado/espacio que merecen,3.0,parque,google_maps,Hace un año,Parque Marino del Pacífico,neutral
"Que lugar tan bonito, lleno de paz, de riquezas naturales, de vida; me encantó...David fue nuestro guía, un excelente trabajo de su parte.... Una pequeña parte del sendero es de uso universal... La comida estuvo muy buena...",5.0,parque,google_maps,Hace un mes,Parque Nacional Juan Castro Blanco,positiva
El sector volcán viejo es muy bonito. El sendero está en excelentes condiciones y es muy fácil. Y la calle para llegar está en muy buen estado,5.0,parque,google_maps,Hace 3 meses,Parque Nacional Juan Castro Blanco,positiva
Qué lugar más encantador! Hay que caminar un poco cuesta arriba y hay que tener buena energía; pero vale el esfuerzo!,5.0,parque,google_maps,Hace un mes,Parque Nacional Juan Castro Blanco,positiva
"Un lugar Magico, el Guarda parques Gerardo está muy conectado con el trabajo de protección y buen mantenimiento del orden ambiental. Excelente lugar y porque no volver para ofrecer voluntariado.",5.0,parque,google_maps,Hace 2 meses,Parque Nacional Juan Castro Blanco,positiva
"Con más de 14.000 hectáreas es el parque menos visitado del país pero alberga una exuberante flora y fauna silvestre que incluye diferentes pisos altitudinales, por lo cual lo hace un excelente lugar para disfrutar de un contacto directo y natural con la naturaleza. También cuenta con ser el único parque que permite el disfrute de diferentes actividades. Tanto como avistamiento de aves, visitar cataratas, hiking, termales y hasta deportes de aventura.",5.0,parque,google_maps,Hace 2 años,Parque Nacional Juan Castro Blanco,positiva
Un lugar muy frío pero con paisajes muy bellos,5.0,parque,google_maps,Hace 5 meses,Parque Nacional Juan Castro Blanco,positiva
"Parque Nacional mágico! Ideal para realizar caminatas, aguas cristalinas, senderos para todo tipo de personas. Vale la pena recorrer estos escondites de Costa Rica. Recomendación: llevar hidratantes, zapatos antideslizantes y capa contra la lluvia. Ingresamos por el sector del Volcán Platanar.",5.0,parque,google_maps,Hace 3 años,Parque Nacional Juan Castro Blanco,positiva
"Muy buen parque. El sendero principal está cuidado, pero los demás no mucho. Son 12 kilómetros en total. Se vuelve muy peligroso en l llegada a las minas de azufre. Es una buena aventura pero hay que ir preparados. El restaurante a la entrada está muy bien, y las instalaciones son muy nuevas. Hay poco parqueo, y yo recomiendo solo 4x4s",4.0,parque,google_maps,Hace 7 años,Parque Nacional Juan Castro Blanco,positiva
"Un lugar hermoso, se respira tranquilidad y la ventaja es que ni es tan concurrido como otros parques nacionales, recomiendo ir en verano ya que en época lluviosa los senderos se pueden embarrialar mucho",5.0,parque,google_maps,Hace 8 años,Parque Nacional Juan Castro Blanco,positiva
Este lugar es increible con los senderos muy bien demarcados. Súper recomendado!,5.0,parque,google_maps,Hace 4 años,Parque Nacional Juan Castro Blanco,positiva
"Lugar muy relajante, Hermosa naturaleza, Aire muy puro, Hermosos paisajes naturales",5.0,parque,google_maps,Hace 7 años,Parque Nacional Juan Castro Blanco,positiva
Bonito lugar para respirar aire fresco y dar una caminata por potreros y rios hasta llegar a la catarata q es espectacular.,3.0,parque,google_maps,Hace 9 años,Parque Nacional Juan Castro Blanco,neutral
3 Cataratas y la más grande es toro 2 de 500 metros de altura en Venecia de San Carlos en Marsella x el centro turístico Recreo verde una experiencia única,5.0,parque,google_maps,Hace 7 años,Parque Nacional Juan Castro Blanco,positiva
Hermoso lugar una caminata de nivel medio pozo verde es bello.. Y eso si ir muy abrigado con gorro guantes y abrigo,5.0,parque,google_maps,Hace 8 años,Parque Nacional Juan Castro Blanco,positiva
Es un lindo lugar pero no hay instalaciones de ningún tipo ni personal como en otros parques,3.0,parque,google_maps,Hace 8 años,Parque Nacional Juan Castro Blanco,neutral
"Exelente lugar,lastima se nos a calentado mucho.",5.0,parque,google_maps,Hace 2 años,Parque Nacional Juan Castro Blanco,positiva
"Muy lindo para los q les gusta la aventura, hay que caminar unas 3 horas y recomendable llevar capa, llueve mucho y es muy frío.",5.0,parque,google_maps,Hace 7 años,Parque Nacional Juan Castro Blanco,positiva
Nuestra Montaña sagrada. Cuna del Agua de San Carlos. El bosque primario es una belleza,5.0,parque,google_maps,Hace 3 años,Parque Nacional Juan Castro Blanco,positiva
"Un lugar para descansar y olvidarse de los celulares. La tv, del caos en el que vivimos. Este.es.el parque del agua, agua pira, fría, delisiosa.",5.0,parque,google_maps,Hace 2 años,Parque Nacional Juan Castro Blanco,positiva
Muy bueno solo fato la calefacción pero con buena cobija de tigre se la juega uno,5.0,parque,google_maps,Hace 4 años,Parque Nacional Juan Castro Blanco,positiva
Si quieres respirar aire puro y tener un encuentro con la neturaleza en su totalidad! Seran momentos imborrables!!,5.0,parque,google_maps,Hace 6 años,Parque Nacional Juan Castro Blanco,positiva
"Es increíble la tranquilidad y la paz mental que puedes recibir de este sitio, el parque es más que una aventura...es vida.",4.0,parque,google_maps,Hace 3 años,Parque Nacional Juan Castro Blanco,positiva
"El personal muy gentil y atento. La comida buena y a buen precio. La laguna Pozo Verde es simplemente preciosa. El acceso a las minas de azufre lamentablemente estaba cerrado. Es un buen lugar para ""senderear"" y disfrutar del aire puro, de las vistas de las montañas y de la vegetación.",4.0,parque,google_maps,Hace 6 años,Parque Nacional Juan Castro Blanco,positiva
Asombroso facil acceso recomendado pocos visitado,5.0,parque,google_maps,Hace 8 años,Parque Nacional Juan Castro Blanco,positiva
"Un lugar agradable, difícil acceso.",4.0,parque,google_maps,Hace 6 años,Parque Nacional Juan Castro Blanco,positiva
Poca gente y lindo lugar. No hay instalaciones,4.0,parque,google_maps,Hace 8 años,Parque Nacional Juan Castro Blanco,positiva
Hermoso lugar para disfrutar en famila,5.0,parque,google_maps,Hace 8 años,Parque Nacional Juan Castro Blanco,positiva
"Esta ubicacion llega a ""montaña sagrada"" que es parte del parque, hay otra entrada del sector quetzales un par de kilometros antes no apta para automoviles talvez un buen 4x4,la zona es increible y la mayor parte del camino esta muy bien.",4.0,parque,google_maps,Hace un año,Parque Nacional Juan Castro Blanco,positiva
"Un lugar sumamente interesante, paisajes hermosos, y muy tranquilo. Sin embargo, se debería trabajar en el acceso, pues este no es el mejor. También, se podría instalar algún puesto de comida, bebidas o supermercado, pues muchas veces las personas no viajan con lo necesario para una caminata.",4.0,parque,google_maps,Hace 5 años,Parque Nacional Juan Castro Blanco,positiva
"Visitar este parque es una belleza, al llegar al pueblo de San José de la montaña empieza la belleza de este parque natural. Existen senderos para visitar un poco más de este parque, el sendero más conocido es el que va hasta la laguna pozo verde de origen volcánico. No hay que pagar de momento y es un paseo inolvidable, hay cabinas dónde quedarse con el restaurant a la par dónde hay desayuno, almuerzo y cena. Un lugar muy frío y para ir por el sendero hay que llevar zapatos para caminar en partes hay barro y tal vez un poco de lluvia que es muy común en la zona. Se le llama también la montaña sagrada tras que de ahí salen todos los acueductos de la zona norte.",4.0,parque,google_maps,Hace 6 años,Parque Nacional Juan Castro Blanco,positiva
La vista es super maravillosa.,5.0,parque,google_maps,Hace 2 años,Parque Nacional Juan Castro Blanco,positiva
"Buenas un lugar sumamente especial, lo recomiendo.......",5.0,parque,google_maps,Hace 8 años,Parque Nacional Juan Castro Blanco,positiva
Excelente lugar para visitar,5.0,parque,google_maps,Hace 7 años,Parque Nacional Juan Castro Blanco,positiva
"Es un lugar increíble, mucha vegetación, río, cataratas, animales y grandes saurios de piedra, asemeja un parque Jurásico. Es precioso, nos llovió e hizo mucha niebla, lo que lo hizo más genial e interesante. Lo recomiendo.",5.0,parque,google_maps,Hace 7 años,Parque Nacional Juan Castro Blanco,positiva
"La caminata a la cima es retadora, los senderos si necesitan más seguridad asi como poner barreras cerca de los caminos que pasan cerca de los barrancos. Por lo demás, es un muy buen reto para hacer hiking intermedio.",4.0,parque,google_maps,Hace 6 años,Parque Nacional Juan Castro Blanco,positiva
La Odisea de llegar hasta El parque a través de una vía en total neblina.. Fuertes Lluvias nos marcaron el camino algo escabroso pero fue el reto de Llegar hasta la Meta.. El Parque Juan Castro! Finalmente luego de 4horas de ansioso camino.. Todo un panorama bellisimo.. No pudimos entrar.. Estaba Cerrado!!!!!!! 12 pm.. Jueves 08 08 2019,3.0,parque,google_maps,Hace 6 años,Parque Nacional Juan Castro Blanco,neutral
"De los lugares más bellos de Costa Rica, tiene uno de los ecosistemas más importantes y maravillosos. Muy importante llevar ropa adecuada para esas alturas y clima, si se va a caminar hasta la laguna de Pozo Verde, tener especial cuidado en zapatos adecuados, especialmente si se llevan niños.",5.0,parque,google_maps,Hace 7 años,Parque Nacional Juan Castro Blanco,positiva
"Nosotros entramos al patque por el lado de Agua Zarcas, para subir hay que ir en un 4x4 el camino no esta bueno, la vista es impresionante. No pudimos subir hasta el final del camino porque habían muchas piedras y dificultaba el paso.",4.0,parque,google_maps,Hace 8 años,Parque Nacional Juan Castro Blanco,positiva
"Bellísimo paraje, verdor por doquier. Brotes de agua en múltiples puntos, ríos de agua cristalina, pájaros campana se escuchan en cada paso. La mejor muestra de que la conservación garantiza ecosistemas sanos",5.0,parque,google_maps,Hace 3 años,Parque Nacional Juan Castro Blanco,positiva
Súper. La naturaleza de éste lugar es preciosa.,5.0,parque,google_maps,Hace 7 años,Parque Nacional Juan Castro Blanco,positiva
"El lugar es bonito pero podría no valer la pena si solo espera en llegar a la cima pues todo lo que hay es un mirador, en el cual hace MUCHO frío, si lo que le gusta es el montañismo, y el subir la montaña la verdad si lo recomiendo!",4.0,parque,google_maps,Hace 7 años,Parque Nacional Juan Castro Blanco,positiva
Fue una experiencia muy buena me encantó este lugar espectacular,5.0,parque,google_maps,Hace un año,Parque Nacional Juan Castro Blanco,positiva
"La experiencia de subir al Volcán Platanar, que se encuentra dentro del Parque Nac. Juan Castro Blanco.! Increíble! Muy fuerte el ejercicio pero definitivamente vale la pena. Los Sancarleños deberían de tener esta experiencia por lo menos una vez en su vida. Y cada vez que desde el centro de Ciudad Quesada vean el Volcán Platanar poder decir: Yo subí y caminé todo ese borde hasta la cima: Grandioso!",5.0,parque,google_maps,Hace 7 años,Parque Nacional Juan Castro Blanco,positiva
"Un lugar único en su especie. Lleno de mitos y secretos. Esencial para muchas formas de vida, incluida la humana, la cual se nutre, se limpia y se recrea en las teansparentes aguas procedentes del parque. Refugio natural del jaguar y el puma; la pava, el tepezcunte, la tijerilla, el cabro, la guatuza, el mono colorado"", el carilla"" y el congo"" los jilgueros y quetzales, los coyotes y las dantas y un sin número de especies que me quedan por nombrar. El mundo debe conocerlo! Debe ser manejado con manos de ceda"" y causar el menor impacto por mayor beneficio"" pisible. Crecí en sus montañas, las cuales no me dejan de sorprender; sus volcanes Porvenir, Congo, Platanar y el más hermoso y accesible' Volcan Viejo"" (todavía no abierto al público) Río Aguas Zarcas, Laguna Verde, cataratas de Pueblo Nuevo, Río Barroso, más de la mitad de Río Toro"", Río Guayabo, Caño Grande, Los Negritos.....montes, cascadas, cañones, aguas termales, aguas rápidas. Todo eso es Juan Castro Blanco ""el parque nacional del agua"" By the way"" urge que pn J.C.B recupere la coneccion con pn Volcan Poas a través de contruccion y mejora de los corredores biológicos de Quebrada Gata, Río Desague, Rio Anonos, asi como Rio Segundo. Mil gracias""",4.0,parque,google_maps,Hace 7 años,Parque Nacional Juan Castro Blanco,positiva
Exelentisimo soy Golfiteño 100 % y visito a menudo el lugar tiene unos senderos hermosos muy limpios y una gran variedad de aves y mamíferos ademas una catarata hermosa y lo mejor de todo es el sendero hummingbird donde se puede avistar una gran variedad de colibríes y mucha infinidad de aves tanto locales como migratorias estás son algunas de mis aves favoritas las cuales se pueden observar en el refugio.,5.0,parque,google_maps,Hace 6 años,Parque Nacional Piedras Blancas,positiva
En realidad el nombre no corresponde al lugar indicado. Un gran error!!! Lo que el mapa indica corresponde al Refugio Nacional de Vida Golfito y no al Parque Nacional Piedras Blancas que es colindante o vecino de esta área protegida. Sin embargo el lugar tiene características para personas que deseen conocer la naturaleza del lugar sin realizar mucho esfuerzo ya que el sendero se puede hacer en una hora a lo mucho.,3.0,parque,google_maps,Hace 3 años,Parque Nacional Piedras Blancas,neutral
"Es demasiado húmedo y caliente, los senderos son cortos, bien cuidados, nada difícil. El bosque es demasiado hermoso, lleno de musgo. Se pueden observar especies muy lindas y endémicas",5.0,parque,google_maps,Hace un año,Parque Nacional Piedras Blancas,positiva
"Única, es la palabra que encuentro. Senderiar en ese parque por un río y en un ambiente boscoso humedo como este parque fue una experiencia inolvidable. Me encanto",5.0,parque,google_maps,Hace un año,Parque Nacional Piedras Blancas,positiva
"Fui a correr e ingresé por un sendero. Era limpio, amplio y estaba bien delimitado. Imposible perderse. Se escuchaban monos (no sé de qué tipo) pero sus sonidos eran altísimos, habían tepezcuintles, ardillas y creo que un armadillo. No lo pude ver muy bien. Es bosque húmedo y se siente la sensación de frescura. No habían mosquitos a esa hora, eran las 530am. El lugar super recomendado. Hay una estación del SINAC con guardaparques pero a esa hora estaba cerrada. Muy bonitas instalaciones. En fin, para quienes les gusta la naturaleza y vivir una experiencia de armonía y paz, es un lugar precioso. Habían dos árboles enooormes, muy gruesos. Transmitían una energía demasiado restauradora.",5.0,parque,google_maps,Hace 7 años,Parque Nacional Piedras Blancas,positiva
"Hermoso lugar con facilidad para la observación de flora y fauna, casi siempre que lo he visitado he visto monos, serpientes y aves, tiene una hermosa catarata pequeña pero refrescante, los senderos están limpios y tiene buena recepción de visitantes. Su ubicación es super accesible a pie, o en bis o en carro, está justo después del aeropuerto de golfito camino adentro como 5 minutos.",5.0,parque,google_maps,Hace 6 años,Parque Nacional Piedras Blancas,positiva
"Un lugar muy lindo, lleno de naturaleza muy densa. El clima es pesado y bochornoso, es lo natural de la zona. La caminata es corta y rápida, se observa verde por todo lado, vale mucho la pena visitar el lugar.",5.0,parque,google_maps,Hace 4 años,Parque Nacional Piedras Blancas,positiva
"Un lugar mágico en Golfito, los senderos muy bien señalados, la naturaleza y la pureza del sitio lo hace un lugar de visita obligatoria.",5.0,parque,google_maps,Hace 4 años,Parque Nacional Piedras Blancas,positiva
"Un lugar de una exuberante belleza, gran cantidad de especies de plantas, aves, mamíferos y demás, buen acceso...",5.0,parque,google_maps,Hace 2 años,Parque Nacional Piedras Blancas,positiva
"Mar, buceo, kayak, senderismo, árboles gigantes, historia, ballenas, agujas, bosque tropical, lagunas manglares, aves.",5.0,parque,google_maps,Hace 2 años,Parque Nacional Piedras Blancas,positiva
"Un Parque por explorar, áreas muy vírgenes, playas escondidas, es un ecosistema de apoyo para el Parque Internacional La Amistad y el Parque Nacional Corcovado.",5.0,parque,google_maps,Hace 5 años,Parque Nacional Piedras Blancas,positiva
"Sendero precioso, super limpio y lleno de fauna silvestre.",5.0,parque,google_maps,Hace 3 años,Parque Nacional Piedras Blancas,positiva
Esta feo la infraestructura muy poco personal y mala atención. El lugar parece que está cerrado no existe un rótulo que indique donde esta el frente del lugar.,4.0,parque,google_maps,Hace 6 años,Parque Nacional Piedras Blancas,positiva
"Parque lleno de Naturaleza, al ser un sector muy poco visitado.",4.0,parque,google_maps,Hace un año,Parque Nacional Piedras Blancas,positiva
El sitio es una de las reservas naturales mas bellas de Costa Rica!,5.0,parque,google_maps,Hace 9 años,Parque Nacional Piedras Blancas,positiva
Fue una corta visita administrativa. La atención es pobre por restricciones de personal.,3.0,parque,google_maps,Hace 5 años,Parque Nacional Piedras Blancas,neutral
Súper bien atendido excelente comida,5.0,parque,google_maps,Hace 4 años,Parque Nacional Piedras Blancas,positiva
"Increíble lugar, de fácil acceso para todo tipo de vehículo. En mi caso se pago un tour guiado por las cavernas mediante el whatsapp registrado! La caminata de 1.6 km es un poquito pesada pero ya llegando al sendero se vuelve sencilla hasta llegar al mirador que cuenta con una vista increíble. La caverna es increíble, super recomendada para aquellos que les gusta la aventura! El lugar cuenta con parqueo y agua potable.",5.0,parque,google_maps,Hace 6 meses,Parque Nacional Barra Honda,positiva
"Una experiencia inolvidable, para las personas que les encanta el hike y las caminatas ecológicas este lugar cumple sus expectativas. Las caverna terciopelo es un hermoso lugar y el guía turístico es una persona con mucho conocimiento y experiencia. Se debe reservar con tiempo para el guía turístico.",5.0,parque,google_maps,Hace 4 meses,Parque Nacional Barra Honda,positiva
"El parque es muy lindo, lo recomiendo en invierno ya que es cuando toda la vegetación está verde y puedes ver la cascada y las pozas de piedra caliza que se forman en la quebrada, la caminata hacia el mirador es dura si no andas en un carro 4x4 ya que son 3 km de pura subida y 2 km de planicie pero vale muchísimo la pena",5.0,parque,google_maps,Hace 7 meses,Parque Nacional Barra Honda,positiva
"En el lugar hay Parqueo. Hay 2 formas de llegar desde Nicoya, una calle es de lastre y la otra mayormente asfalto. Se paga aproximadamente 1 100 de entrada y a la Asociación de guías 20 000 por persona, incluye el tour y todo el equipo. Son 8 kilómetros en total, 4 kilómetros para llegar hasta la Caverna y 4 de regreso. Hay un mirador precioso y no se camina tanto desde la Caverna. Hay un segundo parqueo que solo es para carros 4x4 y se evita hacer parte de la caminata (la parte más difícil porque son cuestas). Dentro de la Caverna hay 3 salas que se pueden visitar, lo más profundo son -25 metros. Se debe llevar mucha hidratacion porque el lugar es bastante caluroso. El lugar es precioso y se aprende mucho. Es una gran experiencia. En época de invierno se pueden ver pozas y una cascada.",5.0,parque,google_maps,Hace un año,Parque Nacional Barra Honda,positiva
"El parque es bonito, se camina un rato por una calle que está dentro del parque para después ingresar a un sendero en el que se podrá disfrutar de la montaña, si tienes suerte podrás ver monos, congos y hasta venados. Un atractivo de este parque es la caverna terciopelo, si quieres ingresar deberás pagar un monto extra para que un guía te acompañe. Se debe descender por medio de una pequeña escalera de 17 metros de alto, pero calma, es muy seguro, te colocan casco, guantes, un arnés y bajas asegurado a una cuerda. Una vez dentro podrás apreciar las formaciones que datan de millones de años. El parque también cuenta con un mirador desde donde podrás apreciar parte del golfo y algunas montañas de la zona. Es importante que sepas que los senderos no son accesibles, pero si cuentas con un carro 4x4 podrás ahorrarte unos cuantos kilómetros de caminata (pero seamos honestos, quién va a un parque nacional a andar en carro).",4.0,parque,google_maps,Hace 3 años,Parque Nacional Barra Honda,positiva
"Es un parque nacional poco visitado apesar de que está ubicado en una zona llena de atracciones como El Cerro Caballito, el Río Tempisque y la ciudad de Nicoya. Solo hay dos cavernas abiertas al público...una pequeña apta para niños y la terciopelo que se accede por una escalera de unos 17 m que te llena de adrenalina. Hay que reservar con tiempo ya que solo se puede descender en la mañana y tiene un costo adicional a la entrada al parque que incluye la guía y el equipo y que ronda los 20.000 colones.",5.0,parque,google_maps,Hace 2 años,Parque Nacional Barra Honda,positiva
"Es mucho más que cavernas, que por demás son mágicas, presenciar las esculturas que el agua esculpe a lo largo del tiempo es maravilloso. Las cascaditas también se merecen una visita. El sendero que conduce hasta estás formaciones calcáreas es UN hermoso túnel verde, fresco, un bosque repleto de hongos de todos colores y formas. Al llegar, solo se escucha el canto del agua mientras sigue esculpiendo formas en el cause del río.",5.0,parque,google_maps,Hace 4 años,Parque Nacional Barra Honda,positiva
"Barra Honda superó mis expectativas. El parque está lleno de animales, la vista desde el mirador espectacular y la caverna toda una aventura. Definitivamente recomiendo la visita guiada, agrega mucho a la experiencia.",5.0,parque,google_maps,Hace un año,Parque Nacional Barra Honda,positiva
"Al inicio la caminata es bastante empinada, pero después de recorrer los primeros 2 km todo es muy plano. El recorrido por las cavernas es súper espectacular, llegando a estar hasta 40 m de profundidad. Para reservar el tour es recomendado escribir o llamar al 8539 1010",5.0,parque,google_maps,Hace 2 años,Parque Nacional Barra Honda,positiva
